directory	pmid	n_total	n_cases	n_controls
2-Hour-Glucose_Saxena_2010	20081857	15234		
ACL-Injury_Kim_2017	28358823	102979	5148	97831
Adiponectin_Dastani_2012	22479202	29347		
Adiponectin_Wu_2014	24105470	7825		
Age-At-Death_Pilling_2016	27015805	75244		
Age-At-Menarche_Day_2017	28436984	252514		
Age-At-Menarche_Perry_2014	25231870	132989		
Age-At-Menopause_Day_2015	26414677	69360		
Age-Related-Macular-Degeneration_Yan_2018	29346644			
Aggression_Pappa_2015	26087016	18988		
Albuminuria_Boger_2011	21355061	31580		
Albuminuria_Haas_2018	30220432	382500		
Albuminuria_Teumer_2016	26631737	54450		
Albuminuria_Teumer_2019	31511532			
Alcohol-Dependence_Sanchez-Roige_2018	30336701			
Alcohol-Dependence_Walters_2018	30482948	52848	14904	37944
Alcohol-Use_Evangelou_2019	31358974			
Allergic-Diseases_Zhu_2018	29785011			
Allergies_Ferreira_2017	29083406	242569	96794	145775
Allopurinol-Response_Wen_2015	25676789			
Alzheimers-Cerebrospinal-Fluid-sTREM2_Liu_2019	31708768			
Alzheimers-Dementia_Moreno-Grau_2019	31473137			
Alzheimers-Disease-Biomarkers_Scelsi_2018	29860282			
Alzheimers-Family-History_Marioni_2018	29777097	269279	14338	254941
Alzheimers-Posterior-Cortical-Atrophy_Schott_2016	26993346	10840	293	10547
Alzheimers-Protein-Levels_Ramirez_2014	25027320	363		
Alzheimers_Jansen_2018	30617256	455258	71880	383378
Alzheimers_Lambert_2013	24162737	54162	17008	37154
Amyotrophic-Lateral-Sclerosis-Exome_Dekker_2019	30976013			
Amyotrophic-Lateral-Sclerosis-Sporadic_Benyamin_2017	28931804	4084	1234	2850
Amyotrophic-Lateral-Sclerosis_Nicolas_2018	29566793	80610	20806	59804
Amyotrophic-Lateral-Sclerosis_van-Rheenen_2016	27455348	36052	12577	23475
Ankle-Injury_Kim_2017	28957384	99340	1694	97646
Ankylosing-Spondylitis_Cortes_2013	23749187			
Ankylosing-Spondylitis_Li_2019	30946743	3321	1480	1841
Anorexia-Nervosa_Duncan_2017	28494655	14477	3495	10982
Anthropometric-Extremes_Berndt_2013	23563607	16068	7962	8106
Anthropometrics-Sex-Stratified_Randall_2013	23754948	60036		
Anthropomorphic-Traits_Wang_2019	31453325			
Anti-Mullerian-Hormone_Ruth_2019	30649302	3344		
Antisocial-Behavior_Tielbeek_2017	28979981	16400		
Anxiety_Otowa_2016	26754954	17310	7016	14745
Aortic-Problems-In-Marfan-Syndrome_Aubart_2018	30087447			
Asthma_Daya_2019	30787307	14654	7009	7645
Asthma_Demenais_2017	29273806	142486	23948	118538
Asthma_Ferreira_2019	30929738	314633	13962	300671
Asthma_Moffatt_2010	20860503	26475	10365	16110
Asthma_Myers_2014	24824216	6483	2653	3830
Asthma_Shrine_2018	30552067	30810	5135	25675
Asthma_Zhu_2019	31619474			
Atopic-Dermatitis_EAGLE_2015	26482879	40835	10788	30047
Atopic-Dermatitis_Hirota_2012	23042114			
Atopic-Dermatitis_Paternoster_2015	26482879	40835	10788	30047
Atrial-Fibrillation-Early-Onset_Choi_2018	30535219			
Atrial-Fibrillation-Multi-Ethnic_Roselli_2018	29892015	588190	65446	522744
Atrial-Fibrillation_Low_2017	28416822	36792	8180	28612
Atrial-Fibrillation_Nielsen_2018	30061737	1030836	60620	970216
Attention-Deficit-Hyperactivity-Disorder_Middeldorp_2016	27663945	17666		
Attention-Function_Alemany_2016	27656889	1655		
Autism_Massrali_2019	31346403			
Autism_Psychiatric-Genomics-Consortium_2017	28540026	15954	7387	8567
Autoimmune-Thyroid-Disease_Cooper_2012	22922229			
BMI-Childhood_Felix_2015	26604143	35668		
BMI-Childhood_Helgeland_2019	31575865			
BMI-Exome_Turcot_2017	29273807			
BMI-and-Height_Robinson_2015	26366552			
BMI-and-Height_Yang_2015	26323059			
BMI-and-Height_Yengo_2018	30124842	693529		
BMI_Akiyama_2017	28892062	158284		
BMI_Hoffmann_2018	30108127	334487		
BMI_Locke_2015	25673413	234069		
BMI_Pulit_2018	30239722	806834		
BMI_Rask-Andersen_2019	30664634	167431		
BMI_Riveros-McKay_2019	30677029	7931	1471	6460
BMI_Speliotes_2010	20935630	123865		
BMI_Yang_2012	22982992	133154		
Biliary-Atresia_Chen_2018	30102696	2059	343	1716
Biliary-Liver-Cirrhosis_Nakamura_2012	23000144	963	487	476
Biomarker-Levels_Enroth_2014	25147954			
Biomarker-Levels_Prins_2017	28887542			
Bipolar-Disorder_Hou_2016	27329760	34950	7647	27303
Bipolar-Disorder_Psychiatric-Genomics-Consortium_2012	21926972	16731	7481	9250
Bipolar-Disorder_Stahl_2019	31043756			
Birth-Length_van-der-Valk_2014	25281659	28459		
Birth-Weight_Horikoshi_2013	23202124	26836		
Birth-Weight_Horikoshi_2016	27680694	143677		
Birth-Weight_Warrington_2019	31043758			
Blood-Cell-Traits_Astle_2016	27863252	131860		
Blood-Cells_Ferreira_2009	19853236	4250		
Blood-Lipids_Andaleon_2018	29404214			
Blood-Lipids_Willer_2013	24097068	188577		
Blood-Metabolites_Draisma_2015	26068415			
Blood-Metabolites_Shin_2014	24816252	7788		
Blood-Pressure_Evangelou_2018	30224653			
Blood-Pressure_Hoffmann_2016	27841878			
Blood-Pressure_Liu_2016	27618448			
Blood-Protein-Biomarkers_Hillary_2019	31320639			
Blood-Protein-Levels_Folkersen_2017	28369058			
Blood-Protein-Levels_Suhre_2017	28240269	1000		
Blood-Protein-Levels_Sun_2018	29875488			
Body-Fat-Percentage_Lu_2016	26833246	100716		
Body-Mass_Hubel_2018	30593698			
Bone-Fracture_Trajanoska_2018	30158200			
Bone-Mineral-Density-Estimated_Kemp_2017	28869591	142487		
Bone-Mineral-Density-Total-Body-Lifecourse_Medina-Gomez_2018	29304378	66628		
Bone-Mineral-Density_Estrada_2012	22504420	32961		
Bone-Mineral-Density_Zheng_2015	26367794	32965		
Breast-Cancer-BRACX_Lee_2018	30323354	7448	1469	5979
Breast-Cancer_Michailidou_2015	25751625			
Breast-Cancer_Michailidou_2017	29059683			
Breast-Cancer_Milne_2017	29058716			
Burn-Scarring_Wallace_2018	30595539	665		
C-Reactive-Protein-Levels_Southam_2017	28548082			
Cannabis-Use_Pasman_2018	30150663	162082	43380	118702
Cardiac-Conduction_Prins_2018	30012220			
Carpal-Tunnel-Syndrome_Wiberg_2019	30833571	401656	12312	389344
Celiac-Disease_Dubois_2010	20190752	15283	4533	10750
Celiac-Disease_Trynka_2011	22057235	24269	12041	12228
Central-Corneal-Thickness_Gao_2016	28171582	3584		
Central-Corneal-Thickness_Iglesias_2018	29760442	17803		
Central-Serous-Retinopathy_Hosoda_2019	31872073			
Cerebral-White-Matter-Hyperintensity_Traylor_2016	26674333			
Cervical-Cancer_Leo_2017	28806749			
Childhood-Obesity_Bradfield_2019	31504550			
Chronic-HPV-Infection_Mainali_2018	30092369			
